              Procedure           Image            Address        Calls Instructions
        _dl_debug_state ld-linux-x86-64.so.2       7fe706d06060            2            2
                  .text ld-linux-x86-64.so.2       7fe706cf5ac0            1        11247
               .plt.got ld-linux-x86-64.so.2       7fe706cf5ab0            9            9
             calloc@plt ld-linux-x86-64.so.2       7fe706cf5a90           12           12
             malloc@plt ld-linux-x86-64.so.2       7fe706cf5a80           36           36
    __libc_memalign@plt ld-linux-x86-64.so.2       7fe706cf5a70           37           37
                  _fini    multi_thread             4008f4            1            3
        __libc_csu_init    multi_thread             400880            1           34
                   main    multi_thread             4007f9            1           76
            print_hello    multi_thread             4007cf           10          120
                 repeat    multi_thread             40079c            1           81
            myThreadFun    multi_thread             400766           10          160
            frame_dummy    multi_thread             400740            1            4
  __do_global_dtors_aux    multi_thread             400720            1            8
     register_tm_clones    multi_thread             4006e0            1           12
   deregister_tm_clones    multi_thread             4006a0            1            8
                 _start    multi_thread             400670            1           11
              sleep@plt    multi_thread             400650           20           22
               exit@plt    multi_thread             400640            1            3
       pthread_join@plt    multi_thread             400630            1            3
  __libc_start_main@plt    multi_thread             400620            1            3
             printf@plt    multi_thread             400610           20           22
               puts@plt    multi_thread             400600           22           24
     pthread_create@plt    multi_thread             4005f0            1            3
                   .plt    multi_thread             4005e0            7           14
                  _init    multi_thread             4005b8            1            6
