              Procedure           Image            Address        Calls Instructions
_ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE4sizeEv  libstdc++.so.6       7fa3df5765a0            6           12
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEaSERKS4_  libstdc++.so.6       7fa3df576410            1            6
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED2Ev  libstdc++.so.6       7fa3df5763f0            5           25
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC2EOS4_  libstdc++.so.6       7fa3df576340            3           45
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1Ev  libstdc++.so.6       7fa3df5762f0            2           10
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_mutateEmmPKcm  libstdc++.so.6       7fa3df576120            1           65
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_assignERKS4_  libstdc++.so.6       7fa3df576020            1           56
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm  libstdc++.so.6       7fa3df575d30            3           33
_ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv  libstdc++.so.6       7fa3df5652f0            3           42
_ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc  libstdc++.so.6       7fa3df564030            1           18
_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l  libstdc++.so.6       7fa3df563b70            2          102
_ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_  libstdc++.so.6       7fa3df563980            1           19
            _ZNSo3putEc  libstdc++.so.6       7fa3df563720            1           37
       _ZNSo6sentryD1Ev  libstdc++.so.6       7fa3df563550            3           18
     _ZNSo6sentryC2ERSo  libstdc++.so.6       7fa3df5634e0            3           63
          _ZNSo5flushEv  libstdc++.so.6       7fa3df562d10            4           56
       _ZNSolsEPFRSoS_E  libstdc++.so.6       7fa3df562c70            1            1
_ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7fa3df554170            6          126
_ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7fa3df554120            6          126
_ZSt9has_facetISt7codecvtIcc11__mbstate_tEEbRKSt6locale  libstdc++.so.6       7fa3df554030            1           21
_ZSt9has_facetISt5ctypeIcEEbRKSt6locale  libstdc++.so.6       7fa3df553fe0            6          126
_ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7fa3df5529f0            6          114
_ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7fa3df5529a0            6          114
_ZSt9use_facetISt7codecvtIcc11__mbstate_tEERKT_RKSt6locale  libstdc++.so.6       7fa3df552370            1           19
_ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale  libstdc++.so.6       7fa3df550e90            6          114
  _ZNSt8messagesIcEC1Em  libstdc++.so.6       7fa3df5507e0            1           19
_ZNSt11__timepunctIcEC2EPSt17__timepunct_cacheIcEm  libstdc++.so.6       7fa3df5500e0            1           22
    _ZNSi6sentryC1ERSib  libstdc++.so.6       7fa3df547c60            1           27
_ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E  libstdc++.so.6       7fa3df546060            4           88
_ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7fa3df545c40            4          120
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E  libstdc++.so.6       7fa3df545740            6          132
_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7fa3df5452c0            6          180
_ZNSt9basic_iosIcSt11char_traitsIcEE5clearESt12_Ios_Iostate  libstdc++.so.6       7fa3df544f70            1            6
_ZNKSt9basic_iosIcSt11char_traitsIcEEcvbEv  libstdc++.so.6       7fa3df544f40            1            3
_ZNSt14basic_ifstreamIcSt11char_traitsIcEE4openERKNSt7__cxx1112basic_stringIcS1_SaIcEEESt13_Ios_Openmode  libstdc++.so.6       7fa3df5407a0            1           14
_ZNSt13basic_filebufIcSt11char_traitsIcEE4openEPKcSt13_Ios_Openmode  libstdc++.so.6       7fa3df540680            1           53
_ZNSt14basic_ifstreamIcSt11char_traitsIcEEC1Ev  libstdc++.so.6       7fa3df53fed0            1           41
_ZNSt14basic_ifstreamIcSt11char_traitsIcEE7is_openEv  libstdc++.so.6       7fa3df53d570            1            2
_ZNSt13basic_filebufIcSt11char_traitsIcEE27_M_allocate_internal_bufferEv  libstdc++.so.6       7fa3df53c550            1           12
_ZNSt13basic_filebufIcSt11char_traitsIcEEC2Ev  libstdc++.so.6       7fa3df53bf30            1           57
_ZNSt13basic_filebufIcSt11char_traitsIcEE9underflowEv  libstdc++.so.6       7fa3df53ac00            1           64
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE6xsputnEPKcl  libstdc++.so.6       7fa3df539fd0            2           10
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE8overflowEi  libstdc++.so.6       7fa3df539d30            1            6
_ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv  libstdc++.so.6       7fa3df539d20            3            6
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv  libstdc++.so.6       7fa3df539d10            4            8
_ZNSt7__cxx118messagesIwEC2Em  libstdc++.so.6       7fa3df539110            1           19
_ZNSt7__cxx118messagesIcEC2Em  libstdc++.so.6       7fa3df52ef80            1           19
_ZNSt5ctypeIwE19_M_initialize_ctypeEv  libstdc++.so.6       7fa3df513080            1         2733
_ZNKSt5ctypeIwE19_M_convert_to_wmaskEt  libstdc++.so.6       7fa3df512a40           12          179
 _ZNSt5ctypeIcEC1EPKtbm  libstdc++.so.6       7fa3df512800            1          113
_ZNSt3_V214error_categoryD2Ev  libstdc++.so.6       7fa3df508080            3            3
     _ZNSt8ios_baseC2Ev  libstdc++.so.6       7fa3df506d50            9          522
 _ZSt15future_categoryv  libstdc++.so.6       7fa3df5064c0            1           17
     _ZNSt5ctypeIwEC1Em  libstdc++.so.6       7fa3df504070            1           19
_ZNKSt5ctypeIcE13_M_widen_initEv  libstdc++.so.6       7fa3df503ef0            1         1086
           _ZNSaIcED2Ev  libstdc++.so.6       7fa3df4ff360            4            4
           _ZNSaIcEC2Ev  libstdc++.so.6       7fa3df4ff340            4            4
_ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_  libstdc++.so.6       7fa3df4fed20            1            9
_ZNSt12__basic_fileIcE6xsgetnEPcl  libstdc++.so.6       7fa3df4fe7d0            1           25
_ZNSt12__basic_fileIcE2fdEv  libstdc++.so.6       7fa3df4fe750            1            2
_ZNSt12__basic_fileIcE4openEPKcSt13_Ios_Openmodei  libstdc++.so.6       7fa3df4fe700            1           26
_ZNKSt12__basic_fileIcE7is_openEv  libstdc++.so.6       7fa3df4fe5f0            4           12
_ZNSt12__basic_fileIcEC1EP15pthread_mutex_t  libstdc++.so.6       7fa3df4fe5e0            1            3
_ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7fa3df4fdb50            1          103
_ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7fa3df4fd1c0            1          105
_ZNSt7__cxx118numpunctIwE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7fa3df4fcf00            1          349
_ZNSt7__cxx118numpunctIcE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7fa3df4fcc30            1          413
_ZNSt7__cxx1110moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4fc4a0            1          108
_ZNSt7__cxx1110moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4fbf10            1          108
_ZNSt7__cxx1110moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4fb830            1          112
_ZNSt7__cxx1110moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4fb330            1          112
_ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7fa3df4fa510            1          349
_ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7fa3df4fa240            1          413
_ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4f97b0            1          108
_ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4f9220            1          108
_ZNSt10moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4f8b40            1          112
_ZNSt10moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc  libstdc++.so.6       7fa3df4f8640            1          112
_ZSt7getlineIcSt11char_traitsIcESaIcEERSt13basic_istreamIT_T0_ES7_RNSt7__cxx1112basic_stringIS4_S5_T1_EES4_  libstdc++.so.6       7fa3df4f6820            1          107
       _ZNSt6localeC1Ev  libstdc++.so.6       7fa3df4f0e20           26          520
 _ZNSt6locale5_ImplC1Em  libstdc++.so.6       7fa3df4efcb0            1         1014
_ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE  libstdc++.so.6       7fa3df4ef600           32        12096
_ZNKSt6locale2id5_M_idEv  libstdc++.so.6       7fa3df4ef5c0          124         1052
       _ZNSt6localeD2Ev  libstdc++.so.6       7fa3df4ef3b0           10           70
    _ZNSt6localeaSERKS_  libstdc++.so.6       7fa3df4ef310           10          190
_ZNSt6locale5facet13_S_get_c_nameEv  libstdc++.so.6       7fa3df4ef1b0            7           14
_ZNSt6locale5facet15_S_get_c_localeEv  libstdc++.so.6       7fa3df4ef160           14          128
_ZNSt8ios_base7_M_initEv  libstdc++.so.6       7fa3df4ee6c0           10          250
_ZNSt8ios_base4InitD1Ev  libstdc++.so.6       7fa3df4ee3b0            1           23
_ZNSt8ios_base4InitC1Ev  libstdc++.so.6       7fa3df4edbd0            1          268
_ZNSt7codecvtIwc11__mbstate_tEC1Em  libstdc++.so.6       7fa3df4eac00            1           17
_ZNSt7codecvtIcc11__mbstate_tEC1Em  libstdc++.so.6       7fa3df4eab80            1           17
_ZNKSt7codecvtIcc11__mbstate_tE16do_always_noconvEv  libstdc++.so.6       7fa3df4eaa50            1            2
_ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7fa3df4de520           12          780
_ZNK10__cxxabiv120__si_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE  libstdc++.so.6       7fa3df4ddcd0           50         1800
                  _Znam  libstdc++.so.6       7fa3df4dd630            1            1
                  _Znwm  libstdc++.so.6       7fa3df4dd5e0            6           60
    __cxa_guard_release  libstdc++.so.6       7fa3df4dd3d0            1           14
    __cxa_guard_acquire  libstdc++.so.6       7fa3df4dd270            1           32
         __dynamic_cast  libstdc++.so.6       7fa3df4db990           62         3224
                 _ZdlPv  libstdc++.so.6       7fa3df4db930            1            1
_ZNSt14error_categoryD2Ev  libstdc++.so.6       7fa3df4daf10            2            2
_ZNSt14error_categoryC1Ev  libstdc++.so.6       7fa3df4daf00            2            8
               .plt.got  libstdc++.so.6       7fa3df4d0a70            0            2
_ZNSt8messagesIcEC1Em@plt  libstdc++.so.6       7fa3df4d09d0            1            3
             fflush@plt  libstdc++.so.6       7fa3df4d0990            7            9
_ZSt9has_facetISt5ctypeIcEEbRKSt6locale@plt  libstdc++.so.6       7fa3df4d0840            6            8
 _ZNSo6sentryC1ERSo@plt  libstdc++.so.6       7fa3df4d0820            3            5
_ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale@plt  libstdc++.so.6       7fa3df4d0720            4            6
             memcpy@plt  libstdc++.so.6       7fa3df4d0700            6            8
